19.039,-9.565,-179.344,0.2808,0.0757,-0.2062,-1.676,0.103,9.936,-0.000127,0.000511,-0.000763
19.043,-9.565,-179.344,0.2816,0.0719,-0.2092,-1.674,0.126,9.956,0.000535,-0.000281,-0.000652
19.043,-9.564,-179.344,0.2807,0.0729,-0.2103,-1.661,0.13,9.96,0.000197,0.000388,0.000209
19.043,-9.564,-179.343,0.2825,0.0719,-0.2092,-1.688,0.096,9.918,0.000624,0.00086,0.000674
19.042,-9.564,-179.343,0.2807,0.0709,-0.2124,-1.675,0.113,9.938,0.00064,-0.000177,-0.000477
19.045,-9.563,-179.343,0.2798,0.0729,-0.2083,-1.685,0.132,9.922,0.000588,-0.00044,-0.001441
19.046,-9.562,-179.342,0.2816,0.0738,-0.2113,-1.672,0.122,9.92,1.9e-05,-0.000341,-0.000362
19.046,-9.561,-179.342,0.2825,0.07,-0.2071,-1.684,0.091,9.944,0.000188,-0.000532,-0.000149
19.045,-9.562,-179.342,0.2798,0.0729,-0.2104,-1.657,0.106,9.918,0.000106,0.000394,0.000463
19.049,-9.563,-179.343,0.2808,0.0728,-0.204,-1.673,0.118,9.953,-0.000283,-0.000232,-2.6e-05
19.05,-9.563,-179.343,0.2825,0.0728,-0.2102,-1.685,0.112,9.926,0.00133,0.000262,-0.000661
19.048,-9.564,-179.342,0.2834,0.068,-0.208,-1.686,0.114,9.964,0.000664,-0.000389,8.6e-05
19.044,-9.563,-179.343,0.2798,0.071,-0.2061,-1.692,0.105,9.955,-0.001199,0.001363,-0.00059
19.043,-9.564,-179.343,0.2826,0.0738,-0.2071,-1.692,0.094,9.925,-0.000851,-0.000571,-0.001234
19.046,-9.567,-179.343,0.2807,0.0738,-0.2103,-1.69,0.09,9.964,-0.000329,0.000221,-0.000491
19.046,-9.567,-179.343,0.2835,0.0709,-0.2081,-1.684,0.097,9.945,0.000464,-0.000521,0.000133
19.046,-9.567,-179.344,0.2853,0.0708,-0.208,-1.66,0.122,9.977,-0.00018,0.000956,-0.000396
19.045,-9.569,-179.344,0.2817,0.0728,-0.2071,-1.666,0.126,9.952,-0.00076,3.8e-05,-0.00017
19.046,-9.568,-179.344,0.2835,0.0737,-0.206,-1.685,0.122,9.925,-6.3e-05,-0.00104,0.00031
19.048,-9.567,-179.344,0.2826,0.069,-0.2018,-1.661,0.105,9.96,0.000676,0.0004,-0.000744
19.05,-9.566,-179.344,0.2816,0.0728,-0.2134,-1.683,0.12,9.965,0.000611,-0.000648,0.00064
19.05,-9.565,-179.344,0.2826,0.0785,-0.2103,-1.668,0.128,9.941,-0.000419,-1e-06,-0.000571
19.049,-9.565,-179.346,0.2807,0.0709,-0.2071,-1.683,0.098,9.93,0.000296,0.001152,0.000176
19.05,-9.566,-179.346,0.2817,0.0747,-0.2103,-1.668,0.102,9.944,-0.000467,0.00029,0.001119
19.05,-9.567,-179.346,0.2825,0.0719,-0.2102,-1.692,0.121,9.944,0.00103,0.000727,0.000335
19.048,-9.567,-179.346,0.2807,0.0719,-0.2061,-1.686,0.124,9.931,0.00063,0.001212,-0.000679
